date,Mkt-RF,SMB,HML,RMW,CMA,RF
1984-12-31,1.84,-0.74,-0.29,1.28,-1.28,0.64
1985-01-31,7.97,3.45,-5.21,-0.99,-3.46,0.65
1985-02-28,1.22,0.97,-0.24,1.42,1.1,0.58
1985-03-31,-0.84,-1.38,4.01,1.23,2.86,0.62
1985-04-30,-0.96,-0.14,3.6,1.62,0.71,0.72
1985-05-31,5.07,-2.36,-0.98,1.27,-1.43,0.66
1985-06-30,1.27,0.21,0.38,1.69,-1.02,0.55
1985-07-31,-0.72,2.85,-1.62,-0.36,-0.37,0.62
1985-08-31,-1.01,-0.3,2.34,-0.16,1.93,0.55
1985-09-30,-4.5,-1.84,1.21,1.11,1.58,0.6
1985-10-31,4.0,-1.47,0.77,0.88,-1.06,0.65
1985-11-30,6.46,-0.05,-2.91,0.32,-2.35,0.61
1985-12-31,3.88,-0.41,-1.46,0.96,-1.77,0.65
1986-01-31,0.65,0.95,0.46,-1.99,-1.99,0.56
1986-02-28,7.14,-0.72,-0.63,1.16,-1.23,0.53
1986-03-31,4.91,-0.63,-0.39,1.0,0.81,0.6
1986-04-30,-1.28,2.81,-2.81,2.9,-0.1,0.52
1986-05-31,4.63,-1.29,-0.14,2.07,1.1,0.49
1986-06-30,1.06,-0.87,1.2,1.85,0.83,0.52
1986-07-31,-6.43,-3.53,4.66,-0.55,0.81,0.52
1986-08-31,6.07,-4.34,3.54,-1.71,3.32,0.46
1986-09-30,-8.59,2.1,3.23,-0.17,3.71,0.45
1986-10-31,4.64,-2.37,-1.42,-0.01,1.01,0.46
1986-11-30,1.16,-1.86,-0.02,0.98,0.7,0.39
1986-12-31,-3.26,0.19,0.36,0.87,0.09,0.49
1987-01-31,12.44,-1.61,-3.18,0.17,-1.03,0.42
1987-02-28,4.37,3.36,-5.86,-0.79,-2.55,0.43
1987-03-31,1.63,0.32,1.66,1.3,4.17,0.47
1987-04-30,-2.09,-1.58,-0.36,-0.52,1.16,0.44
1987-05-31,0.11,-0.58,0.22,0.49,1.13,0.38
1987-06-30,3.91,-2.11,1.13,1.56,1.07,0.48
1987-07-31,3.84,-1.07,0.94,-0.65,1.58,0.46
1987-08-31,3.52,-1.01,-0.98,2.11,-1.55,0.47
1987-09-30,-2.58,0.45,0.26,-0.88,1.82,0.45
1987-10-31,-23.19,-7.91,4.18,2.29,2.24,0.6
1987-11-30,-7.76,2.78,3.14,-1.93,0.6,0.35
1987-12-31,6.82,-0.01,-4.42,3.13,-2.46,0.39
1988-01-31,4.21,-0.56,4.93,-1.19,2.1,0.29
1988-02-29,4.77,3.3,-1.53,1.51,0.06,0.46
1988-03-31,-2.26,6.11,0.86,-0.23,1.78,0.44
1988-04-30,0.56,1.09,1.51,-0.09,1.9,0.46
1988-05-31,-0.27,-2.52,2.44,-0.77,0.3,0.51
1988-06-30,4.78,2.07,-1.35,1.52,-3.52,0.49
1988-07-31,-1.25,-0.18,2.18,-0.49,1.53,0.51
1988-08-31,-3.31,-0.02,2.14,-0.85,1.65,0.59
1988-09-30,3.31,-1.38,-0.75,1.76,-0.55,0.62
1988-10-31,1.16,-2.97,2.03,1.39,0.99,0.61
1988-11-30,-2.27,-1.58,1.47,-0.36,1.64,0.57
1988-12-31,1.48,1.94,-1.83,0.69,-0.38,0.63
1989-01-31,6.06,-2.26,0.61,-0.97,0.11,0.55
1989-02-28,-2.23,2.7,0.99,-0.84,1.88,0.61
1989-03-31,1.57,0.68,0.47,-0.01,0.65,0.67
1989-04-30,4.35,-0.75,-1.48,0.73,-0.48,0.67
1989-05-31,3.28,-0.06,-0.9,0.45,-0.26,0.79
1989-06-30,-1.33,-1.04,2.21,0.13,1.52,0.71
1989-07-31,7.18,-4.11,-2.8,2.05,-0.56,0.7
1989-08-31,1.43,0.48,0.62,0.36,-0.61,0.74
1989-09-30,-0.76,0.47,-1.27,1.39,0.58,0.65
1989-10-31,-3.65,-3.3,-1.16,0.08,-0.11,0.68
1989-11-30,1.04,-1.26,-1.13,-0.74,1.38,0.69
1989-12-31,1.18,-2.28,0.15,-0.07,1.31,0.61
1990-01-31,-7.8,-1.21,0.83,-1.12,1.4,0.57
1990-02-28,1.11,1.15,0.65,-0.04,-0.61,0.57
1990-03-31,1.83,1.59,-2.9,1.99,-0.94,0.64
1990-04-30,-3.36,-0.35,-2.57,1.78,-1.0,0.69
1990-05-31,8.44,-2.41,-3.89,1.68,-1.63,0.68
1990-06-30,-1.09,1.31,-2.0,-0.99,-0.39,0.63
1990-07-31,-1.9,-3.15,-0.06,-0.1,3.21,0.68
1990-08-31,-10.13,-3.79,1.56,-0.48,2.99,0.66
1990-09-30,-6.11,-3.72,0.59,0.03,3.62,0.6
1990-10-31,-1.91,-5.06,0.08,3.17,-0.25,0.68
1990-11-30,6.35,0.02,-2.97,0.58,-4.71,0.57
1990-12-31,2.48,0.6,-1.57,2.66,-1.98,0.6
1991-01-31,4.69,3.87,-1.48,1.34,-4.07,0.52
1991-02-28,7.21,4.02,-0.62,-0.06,-0.34,0.48
1991-03-31,2.67,3.81,-1.3,-0.52,-0.99,0.44
1991-04-30,-0.29,0.35,1.49,0.67,0.81,0.53
1991-05-31,3.66,0.14,-0.52,2.07,-2.36,0.47
1991-06-30,-4.94,0.3,1.08,1.75,0.68,0.42
1991-07-31,4.24,-1.0,-1.3,1.6,-1.44,0.49
1991-08-31,2.32,1.42,-0.79,0.85,-0.32,0.46
1991-09-30,-1.59,1.58,-1.23,-1.77,-0.04,0.46
1991-10-31,1.29,0.85,-0.43,-1.65,-0.3,0.42
1991-11-30,-4.2,-0.88,-1.77,1.1,-0.12,0.39
